id,brand,instagram_link,variant,variant_image_url,variant_link,concentration,rating,gender,size (ml),price,price_per_ml,top_notes1,top_notes2,top_notes3,mid_notes1,mid_notes2,mid_notes3,base_notes1,base_notes2,base_notes3
44,avantglossy,,Saint Lagoon,,https://shopee.co.id/avantglossy/20009705276,EDP,4.7,Unisex,30,"115,000.00","3,833.33",Sea,Magnolia,,Lily,,,Powdery,,
45,avantglossy,,Dawn,,https://shopee.co.id/avantglossy/20009705276,EDP,4.9,Unisex,30,"115,000.00","3,833.33",Lavender,Mandarin Orange,Bergamot,Orchid,,,Madagascar Vanilla,Ambergris,
46,Avicenna,https://www.instagram.com/avicennaperfume.id/,Miracle,,https://shopee.co.id/cnfperfumery/15750856518,EDP,4.5,Feminime,100,"229,250.00","2,292.50",Red Fruits,Orange,Black Pepper,Jasmine,Red Rose,Violet,Vanilla,Powdery,Musk
47,Avicenna,,Starbust,,https://shopee.co.id/AVICENNA-STARBURST-(NEW)-EDP-100-ML-i.53497038.20462268445?sp_atk=5216a17c-30f0-4e51-b823-85302174b2cd&xptdk=5216a17c-30f0-4e51-b823-85302174b2cd,EDP,4.3,Feminime,100,"279,300.00","2,793.00",Coffee,Orange Blossom,,Jasmine Sambac,Bitter Almond,,Vanilla,Cashmere,
48,Avicenna,,VIP,,https://shopee.co.id/AVICENNA-VIP-M-(NEW)-EDT-100-ML-i.53497038.11686542403?sp_atk=f325286c-9603-4d45-87ba-1ff4b4cadcfe&xptdk=f325286c-9603-4d45-87ba-1ff4b4cadcfe,EDT,4.3,Feminime,100,"279,300.00","2,793.00",Nutmeg,Pink Pepper,Saffron,Red Rose,Tonka Bean,Gardenia,Labdanum,Woody,Vanilla
49,Avicenna,,VIP,,https://shopee.co.id/AVICENNA-VIP-W-(NEW)-EDP-100-ML-i.53497038.10086550991?sp_atk=5f7d652f-3c5c-4ecd-9791-c7cb6a337692&xptdk=5f7d652f-3c5c-4ecd-9791-c7cb6a337692,EDP,4.8,Feminime,100,"279,300.00","2,793.00",Pear,Peach,Melon,Ylang Ylang,Lily Of The Valley,Red Rose,Lactone,Sandalwood,Musk
50,Avicenna,,Diamond,,https://shopee.co.id/AVICENNA-DIAMOND-W-(NEW)-EDP-100-ML-i.53497038.17200013436?sp_atk=e7be8a2e-6096-4b15-aa76-40caac89bd42&xptdk=e7be8a2e-6096-4b15-aa76-40caac89bd42,EDP,4.4,Feminime,100,"227,400.00","2,274.00",Red Rose,Blackcurrant,Violet,Peach,Lily Of The Valley,,Amber,Musk,
51,Avicenna,,Adventure,,https://shopee.co.id/AVICENNA-ADVENTURE-M-(NEW)-EDT-100-ML-i.53497038.16800022788?sp_atk=c85d536b-d1d8-45e2-b016-db2fa9529a5e&xptdk=c85d536b-d1d8-45e2-b016-db2fa9529a5e,EDT,4.4,Feminime,100,"246,350.00","2,463.50",Bergamot,Pink Pepper,Grapefruit,Lavender,Cardamom,Aquatic,Woody,Oakmoss,Cashmere
52,Avicenna,,La Femme,,https://shopee.co.id/AVICENNA-LA-FEMME-W-(NEW)-EDP-100-ML-i.53497038.11186541942?sp_atk=79c2a86a-9725-4107-a281-0413b9f225fb&xptdk=79c2a86a-9725-4107-a281-0413b9f225fb,EDP,4.4,Feminime,100,"279,300.00","2,793.00",Lemon,Grapefruit,Apple,Lily,Jasmine,Red Rose,Sandalwood,Ambergris,Vanilla
53,Avicenna,,Blossom,,https://shopee.co.id/AVICENNA-BLOSSOM-W-(NEW)-EDP-100-ML-i.53497038.13476306367?sp_atk=72b382bb-7cf2-4895-9cfe-bcf2ed04daaf&xptdk=72b382bb-7cf2-4895-9cfe-bcf2ed04daaf,EDP,4.2,Feminime,100,"246,350.00","2,463.50",Bulgarian Rose,White Floral,Violet,Iris,Opponax,Balsamic,Bourbon,Vanilla,Musk
54,Avicenna,,Magnitude,,https://shopee.co.id/AVICENNA-MAGNITUDE-(NEW)-EDP-100-ML-i.53497038.18967752062?sp_atk=d8cdc369-c9d0-4bde-bc58-13ba25acb04b&xptdk=d8cdc369-c9d0-4bde-bc58-13ba25acb04b,EDP,4.3,Feminime,100,"279,300.00","2,793.00",Pear,Pink Pepper,Orange Blossom,Coffee,Jasmine,Bitter Almond,Vanilla,Patchouli,Cedarwood
55,Avicenna,,Eclat,,https://shopee.co.id/AVICENNA-ECLAT-M-(NEW)-EDT-100-ML-i.53497038.12976160800?sp_atk=e923ae6f-3c4b-47cc-b7a6-3df94bbfce20&xptdk=e923ae6f-3c4b-47cc-b7a6-3df94bbfce20,EDT,4.2,Feminime,100,"279,300.00","2,793.00",Citrus,Watery,,Grapefruit,Aromatic,Jasmine,Woody,Ambergris,Tonka Bean
56,Avicenna,,Homme,,https://shopee.co.id/AVICENNA-L-HOMME-M-(NEW)-EDT-100-ML-i.53497038.14850866156?sp_atk=5f00ec33-f939-4ee2-9416-a51ed6e7f1b5&xptdk=5f00ec33-f939-4ee2-9416-a51ed6e7f1b5,EDT,4.1,Feminime,100,"239,400.00","2,394.00",Lime,Lemon,Orange,Geranium,Cyclamen,Amber,Vetiver,Vanilla,Musk
57,Avicenna,,Freedom,,https://shopee.co.id/AVICENNA-FREEDOM-M-(NEW)-EDT-100-ML-i.53497038.15051201007?sp_atk=bd0a387c-cbea-4a9a-9b3f-b41fad30c7ee&xptdk=bd0a387c-cbea-4a9a-9b3f-b41fad30c7ee,EDT,4.7,Feminime,100,"227,400.00","2,274.00",Black Pepper,Apple,Peppermint,Basil,Pear,Ozonic,Vanilla,Ambergris,Cedarwood
58,Avicenna,,Legend,,https://shopee.co.id/AVICENNA-LEGEND-M-(NEW)-EDT-100-ML-i.53497038.16800022306?sp_atk=891c906b-24ba-469c-9770-c3240648d0ac&xptdk=891c906b-24ba-469c-9770-c3240648d0ac,EDT,4.7,Feminime,100,"246,350.00","2,463.50",Lavender,Basil,Cypress,Grapefruit,Lemon,Bergamot,Patchouli,Vetiver,Sandalwood
59,Avicenna,,Wild,,https://shopee.co.id/AVICENNA-WILD-M-(NEW)-EDT-100-ML-i.53497038.16300026215?sp_atk=2cf73810-b694-4732-ac8c-9a94cf8f2f43&xptdk=2cf73810-b694-4732-ac8c-9a94cf8f2f43,EDT,4.9,Feminime,100,"246,350.00","2,463.50",Citrus,,,Geranium,Lavender,,Amber,,
60,Avicenna,,Supreme Advanced,,https://shopee.co.id/AVICENNA-SUPREME-ADVANCED-M-(NEW)-EDT-100-ML-i.53497038.15451205108?sp_atk=2a4a36ba-ae97-497b-9060-da818cb7f9f0&xptdk=2a4a36ba-ae97-497b-9060-da818cb7f9f0,EDT,4.9,Feminime,100,"246,350.00","2,463.50",Ginger,Black Pepper,,Black Basil,Cedar Leaf,Sage,Patchouli,Sequoia,Amber
61,Avicenna,,Euphoric,,https://shopee.co.id/AVICENNA-EUPHORIC-W-(NEW)-EDP-100-ML-i.53497038.17600013706?sp_atk=5d92903f-a368-46ac-b68d-723b7631ae77&xptdk=5d92903f-a368-46ac-b68d-723b7631ae77,EDP,4,Feminime,100,"246,350.00","2,463.50",Bergamot,Tangerine,Grapefruit,Jasmine,, ,Cedarwood,Musk,Peach
62,Avicenna,,Sincere,,https://shopee.co.id/AVICENNA-SINCERE-W-(NEW)-EDP-100-ML-i.53497038.16300009419?sp_atk=5f9faabb-8b33-4ff4-a55e-acdc55ab2063&xptdk=5f9faabb-8b33-4ff4-a55e-acdc55ab2063,EDP,4.7,Feminime,100,"246,350.00","2,463.50",Blackcurrant,Mandarin Orange,Bergamot,Lily,Peony,Jasmine,Musk,Violet,Patchouli
63,Avicenna,,Lumiere,,https://shopee.co.id/AVICENNA-LUMIERE-W-(NEW)-EDP-100-ML-i.53497038.17100012610?sp_atk=03f7832a-4ba3-4407-bdd4-e48587a005df&xptdk=03f7832a-4ba3-4407-bdd4-e48587a005df,EDP,4.1,Feminime,100,"246,350.00","2,463.50",Honeydew,Green Apple,Lemon,Red Rose,Viole,Orange Blossom,Musk,Patchouli,Sandalwood
64,Azwary Perfume,https://www.instagram.com/azwaryperfume/,Magical Instinct,,https://azwaryperfume.sirclo.me/id/product/magical-instinct,EDP,4.2,Feminime,50,"250,000.00","5,000.00",Lemon,Passionfruit,Pomelo,Violet,Orchid,Jasmine,Vanilla,Amber,Patchouli
65,Azwary Perfume,,ATLANTIS FEMINAE,,https://azwary.id/id/product/atlantis-feminae,EDP,4.8,Feminime,50,"425,000.00","8,500.00",Bergamot,Grapefruit,Melon,Magnolia,Cactus,Orchid,Vanilla,Raspberry,Amber
66,Azwary Perfume,,ATLANTIS HOMINES,,https://azwary.id/id/product/atlantis-homines,EDP,4.7,Feminime,50,"425,000.00","8,500.00",Bergamot,Lavender,Geranium,Nutmeg,Cilantro,Orchid,Musk,Cedarwood,Amber
67,Azwary Perfume,,Summer Bloom,,https://azwary.id/id/product/summer-bloom,EDP,4.8,Feminime,50,"300,000.00","6,000.00",Cucumber,Lemon,Mandarin Orange,Basil,Sage,Krenyem,Suede,Woody,Musk
68,Azwary Perfume,,Coral Cleo,,https://azwary.id/id/product/coral-cleo,EDP,4.9,Feminime,50,"300,000.00","6,000.00",Passionfruit,Pomegranate,Mandarin Orange,Jasmine,Pear,Blackcurrant,Musk,Amber,Vanilla
69,Bali Surfer's Perfume,https://www.instagram.com/balisurfers.perfume/,Blue Point,,https://shopee.co.id/balisurfersperfume/9962169595,EDP,4.7,Feminime,100,"199,999.00","1,999.99",Citrus,Fruity,Oceanic,Floral,Spices,Marine,Musk,Woody,
70,Bali Surfer's Perfume,,For Her,,https://shopee.co.id/Bali-Surfers-Perfume-Varian-For-Her-i.457136520.13147872330?sp_atk=9ef96216-da10-4bed-b1b3-8bd87e98c245&xptdk=9ef96216-da10-4bed-b1b3-8bd87e98c245,EDP,4.1,Feminime,100,"199,000.00","1,990.00",Citrus,Bergamot,Red Rose,Jasmine,Musk,Amber,,,
